example,factor,history,Teq_hypothesis,dt,t_end,initial_U,max_U,min_endpoint_denominator,final_X1,final_X2
oscillatory,1,0.1,,0.005,6.0,-0.3442546760744528,0.08956644958996172,0.571077176319266,0.2314531345047704,-0.08681149948108785
oscillatory,1,0.1,,0.0025,6.0,-0.3442546760744528,0.08960570319928457,0.5710762443717887,0.2314519953653924,-0.08681123725719245
oscillatory,1,0.1,,0.00125,6.0,-0.3442546760744528,0.08960595722401118,0.5710759682147487,0.2314517231089153,-0.0868111761217273
oscillatory,2,0.1,,0.005,6.0,-0.3376606847538657,0.5019127650352221,0.15606461849398623,0.24526608409665918,-0.08988402963094838
oscillatory,2,0.1,,0.0025,6.0,-0.3376606847538657,0.5027958286217965,0.15585373091661292,0.24525982619340375,-0.08988299037926357
oscillatory,2,0.1,,0.00125,6.0,-0.3376606847538657,0.5035941351344957,0.1551498161594701,0.24525922829929628,-0.08988284667012611
cooling,1,0.2,0.4,0.01,10.0,1.5353214348896005,1.5353214348896005,0.8246434985336761,0.39974365566502124,0.3999514758051803
cooling,1,0.2,0.4,0.005,10.0,1.5353214348896005,1.5353214348896005,0.8246434985336761,0.3997436757982847,0.39995147835432476
cooling,1,0.6,0.4,0.01,10.0,0.9966628660111372,0.9966628660111372,0.9203218386407936,0.4000967937110948,0.4000168194587361
cooling,1,0.6,0.4,0.005,10.0,0.9966628660111372,0.9966628660111372,0.9203218386407936,0.4000967893223305,0.4000168194810956
