case,dt,T,final_l_m,E1_m,E2_m,min_den1,min_den2,delay_order_violating_nodes,completed
linear_printed_product_h0.1,0.1,200.0,200.03550419075435,0.050469450677367855,0.3821788183700249,1.0000410413034515,0.7966706302021397,100,True
linear_printed_product_h0.05,0.05,200.0,200.03577153034908,0.022795410108883418,0.3803718732478707,1.0000413151289878,0.7966706302021391,201,True
linear_printed_product_h0.025,0.025,200.0,200.03589206454257,0.00904339774390056,0.3795378553992923,1.0000414208096104,0.7966706302021429,401,True
linear_gain_only_h0.1,0.1,200.0,200.038490849267,0.05055031085880041,0.07862362340614604,1.000044098094403,0.7717653834720564,100,True
linear_gain_only_h0.05,0.05,200.0,200.03877523172315,0.022821667098833764,0.07318500454243926,1.0000443857153745,0.771765383472055,201,True
linear_gain_only_h0.025,0.025,200.0,200.03890265059152,0.009049497669388895,0.056984457028626256,1.0000444959896149,0.7717653834720611,401,True
linear_clock_consistent_h0.1,0.1,200.0,200.0384853962138,0.05054152012655411,0.05101461981412564,1.0000440918470483,0.8297413793103443,100,True
linear_clock_consistent_h0.05,0.05,200.0,200.03876965298053,0.022805529728608942,0.025917687048702953,1.0000443793295082,0.8297413793103436,201,True
linear_clock_consistent_h0.025,0.025,200.0,200.03889715600243,0.00904585319445872,0.011813550241192294,1.0000444897051584,0.8297413793103472,401,True
nonlinear_printed_product_h0.1,0.1,160.0,199.84106583401103,0.08927134001236736,2.387890725481803,0.03906250000000011,1.0001436352788988,0,True
nonlinear_printed_product_h0.05,0.05,160.0,199.84039121483556,0.018921369401000976,2.391468962658842,0.03906250000000011,1.0001441951695251,0,True
nonlinear_printed_product_h0.025,0.025,160.0,199.84005967765611,0.007917493851761215,2.3977858313652884,0.03906250000000011,1.000144466482908,0,True
nonlinear_clock_consistent_h0.1,0.1,160.0,199.84123116853283,0.08927134001236736,0.030616821166659647,0.03906250000000011,1.0001435332771251,0,True
nonlinear_clock_consistent_h0.05,0.05,160.0,199.84055685666664,0.018921369401000976,0.016025783950532335,0.03906250000000011,1.000144093309417,0,True
nonlinear_clock_consistent_h0.025,0.025,160.0,199.84022499215087,0.007917493851761215,0.00878580824006242,0.03906250000000011,1.0001443651225377,0,True
nonlinear_hourly_drift,0.05,160.0,198.93690361258646,0.026537307036444968,0.03424045899898254,0.8427590255027066,1.0009583996606302,0,True
linear_rectangle_rule,0.05,200.0,200.03581876490557,0.07031920259188001,0.3770746406924659,1.0000413643935355,0.7966706302021391,201,True
nonlinear_rectangle_rule,0.05,160.0,199.84023275140575,0.6013903721746316,2.5142509572669627,0.03906250000000011,1.000144394035733,0,True
